Hi.	嗨。
The slave was strapped to death.	这个奴隶被鞭打死。
The soap slipped out of my hand.	肥皂从我手上滑落了。
The sound of this rush or surge.	水声上述汹涌或起伏的声音
The star is reportedly very ill.	据说该明星病重.
The storm was succeeded by calm.	暴风雨之后是一片沉静。
The sun is larger than the moon.	太阳比月亮大。
The tables were laid lengthwise.	这些餐桌是纵向摆放的。
The taxi sped off at full speed.	那辆出租车飞快地开走了。
The teacher let the boy go home.	老师让这个男孩回家。
The teacher told us to be quiet.	老师告诉我们要安静。
The theory has been discredited.	该学说已受到怀疑；该理论已过推翻。
The thief lurked in the shadows.	小偷在阴暗处躲着。
The thunder scared the children.	雷声吓到孩子了。
The tie doesn't go with my suit.	领带和我的西装不配。
The total cost comes out at 500.	总计费用为500英镑.
The trade of the soldier is war.	士兵的职业是打仗。
The train leaves in ten minutes.	火车十分钟后离开。
The train was late this morning.	今天早上火车来迟了。
The tsunami alert was cancelled.	海啸的警报解除了。
The two of us don't belong here.	我们俩不属于这儿。
The value of the yen has soared.	日元的价值大幅上升。
The war began three years later.	三年后战争开始了。
The war lasted nearly ten years.	这场战争持续了将近十年。
The war separated many families.	战争使许多家庭妻离子散。
The water is unfit for drinking.	这水不宜饮用。
The wind blew from all quarters.	风从四面八方吹来.
The world is running out of oil.	世界上的石油快用完了。
The young girl burst into tears.	这个年轻的女孩泪流满面。
Their new house is a real dream.	他们的新房子真像梦一般美好。
There are many books in my room.	我房间里有很多书。
There are many shrines in Kyoto.	京都有许多神社。
There are some boys in the park.	公园里有一些男孩子。
There is a bus every 20 minutes.	每20分钟有一班车。
There is a church near my house.	我家附近有一座教堂。
There is a post office close by.	附近有一间邮局。
There is a school near my house.	我家附近有一所学校。
There is no cause for complaint.	没有理由抱怨。
There was a big fire last night.	昨晚有一场大火。
There was no water in the river.	河里没有水了。
There wasn't anyone in the room.	房间里没有人。
There's a bus-stop down the road	路的前方有一个公共汽车站.
There's a soccer match tomorrow.	明天有一场足球比赛。
There's a telephone in the hall.	在大厅里有一支电话。
There's no chance of rain today.	今天不可能下雨。
There's no need to get so angry.	没有必要这么生气。
There's nothing to be afraid of.	没什么好怕的。
There's only a little milk left.	只剩下一点点牛奶了。
These boxes are made of plastic.	这些箱子是由塑料制成的。
These cameras are made in Japan.	这些照相机是在日本制造的。
These days it snows quite a lot.	这些天下了好多雪。
These fireworks are spectacular!	这些焰火真壮观！
These goods are priced too high.	这些货物定价过高.
They all went to the restaurant.	他们都去了这家餐厅。
They are breaking down the wall.	他们正在拆这面墙。
They are discussing the problem.	他们正在讨论这个问题。
They are jealous of our success.	他们嫉妒我们的成功。
They are leaving Japan tomorrow.	明天他们将离开日本。
They are talking in the kitchen.	他们正在厨房里说话。
They armed themselves with guns.	他们用枪武装自己。
They cleared the street of snow.	他们清理了街上的积雪。
They climbed Mt. Fuji last week.	上个月他们爬了富士山。
They decided to attack at night.	他们决定夜晚进攻.
They didn't come here, did they?	他们没来这里，是吗？
They forgave him for his crimes.	他们原谅了他的罪行。
They grow flowers in the garden.	他们在花园里种花。
They grow oranges in California.	他们在加利福尼亚种橙子。
They had a lovely time together.	他们在一起很愉快。
They had to work all year round.	他们一整年都必须工作。
They have been here for an hour.	他们已经在这里一个小时了。
They made him do the work again.	他们要他再做一次这个工作。
They made him sign the contract.	他们让他签约了。
They make a trip with a hackney.	他们乘出租马车去旅行。
They moved here three years ago.	他们三年前搬到了这里。
They quarreled among themselves.	他们互相争吵。
They ran up their national flag.	他们升起了国旗。
They tied the thief to the tree.	他们把小偷绑到了树上。
They use a lorry to carry coals.	他们用卡车运煤。
They used force to persuade him.	他们用武力逼他就范.
They usually sleep in this room.	他们通常在这个房间里睡觉。
They waited in line for the bus.	他们排队等公车。
They wash their hands with soap.	他们用肥皂洗手。
They went to America last month.	他们上个月去美国。
They went to the station by car.	他们开车去车站。
They were afraid of the big dog.	他们怕这只大狗。
They were pining to return home.	他们渴望返回家园.
They'll very likely come by car.	他们多半坐汽车来。
They're not afraid of hard work.	他们不怕艰苦的工作。
Thinking correctly is important.	思考正确是重要的。
This book has a lot of pictures.	这本书有很多图片。
This booklet is delicately made.	这本小册子做得很精致。
This camera was made in Germany.	这个照相机是德国制造的。
This carpet is of Russian style.	这块地毯是俄国风格的。
This computer has a 256K memory.	这台计算机的内存是256K。
This data isn't accurate at all.	这个数据一点也不准确。
This harbor is a natural harbor.	这个港口是天然港。
This has nothing to do with you.	这与你无关。
This hotel does not serve lunch.	这家旅馆不提供午餐。
This is a picture of an airport.	这是一张机场的照片。
This is a very beautiful flower.	这是一朵非常美丽的花。
This is a very interesting book.	这是一本非常有趣的书。
This is just between you and me.	这只是我们之间的秘密。
This is the worst hotel in town.	这是城里最糟糕的旅馆。
This is where Tom wants to live.	这就是汤姆想住的地方。
This isn't the type that I like.	这不是我喜欢的类型。
This jacket is a little too big.	这件夹克有点太大了。
This kind of pea has a long pod.	这种豌豆长着长豆荚。
This letter is addressed to you.	这封信是寄给你。
This message doesn't make sense.	这个消息没有道理。
This project has been closed up.	这个项目已终止了。
This song was written by Foster.	这首歌曲是由福斯特所写的。
This stone is too heavy to lift.	这块石头太重了无法抬起来。
This system has obvious defects.	这个系统有些明显的缺陷。
This tube is flexible but tough.	这管子柔软但很坚固。
To be always honest is not easy.	要一直诚实是不容易的。
Today, the weather is very nice.	今天天气很好。
Tom asked us to leave him alone.	汤姆要我们留他独自一人。
Tom currently resides in Boston.	汤姆现在住在波士顿。
Tom doesn't like doing homework.	汤姆不喜欢做作业。
Tom doesn't want to let Mary go.	Tom 不想让Mary走
Tom finally did something right.	汤姆最终做了点正确的事。
Tom followed Mary into the room.	汤姆跟着玛丽进入了房间。
Tom gave Mary half of the apple.	汤姆给玛丽半个苹果。
Tom gave Mary the cold shoulder.	汤姆给玛丽冷的肩膀。
Tom had never seen Mary so busy.	汤姆从没见过玛丽这么忙。
Tom has a veterinary background.	Tom有兽医背景。
Tom has no friends to play with.	汤姆没有朋友可以一起玩耍。
Tom is hiding a terrible secret.	汤姆隐藏着一个可怕的秘密。
Tom is the tallest in his class.	汤姆是班上最高的。
Tom looked at Mary suspiciously.	汤姆怀疑地看着玛丽。
Tom seems to be completely lost.	汤姆看来完全输了。
Tom sent me an interesting text.	汤姆给我发了一条有趣的短信。
Tom showed interest in the plan.	汤姆对这个计划有兴趣。
Tom wants to tell you something.	汤姆想告诉你一些事情。
Tom was sick in bed last Sunday.	汤姆上周日卧病在床。
Tom watched Mary draw a picture.	汤姆看玛丽画一幅画。
Tom watches too much television.	汤姆电视看太多了。
Tom's eyesight is deteriorating.	Tom的视力正在恶化。
Trade helps industry to develop.	贸易促进工业发展。
Troops have surrounded the town.	部队已将该城包围.
Turn the knob and open the door.	转动门把，把门打开。
UK nationals get the vote at 18.	英国国民18岁始有选举权.
Watch him and do the same thing.	看著他并且跟他做同样的事情。
We all have our crosses to bear.	每个人都有苦难需要承受.
We are anxious about her safety.	我们为她的安全担忧。
We ate sandwiches for breakfast.	我们早餐吃了三明治。
We bivouacked on the open plain.	我们在开阔的原野上露营.
We can hear the ocean from here.	我们从这里可以听到海的声音。
We caught some large fish there.	我们在那里抓了一些大鱼。
We climbed Mt. Fuji last summer.	去年夏天我们爬了富士山。
We differ about moral standards.	我们对道德标准看法不一致。
We discussed the plan yesterday.	昨天我们讨论了这个计划。
We divided the money between us.	我们平分这笔钱。
We don't get many visitors here.	我们这里没有很多访客。
We enjoyed swimming in the lake.	我们尽情在湖里游泳。
We enjoyed the beauty of nature.	我们欣赏大自然的美。
We flew from London to New York.	我们从伦敦飞到纽约。
We gave blood to help the child.	我们捐血来帮助这个孩子。
We give a 10% discount for cash.	如用现金付款，我们给予九折优惠。
We go fishing from time to time.	我们时不时地去钓鱼。
We had an early lunch at school.	我们在学校有一个早午餐。
We had an earthquake last night.	昨晚我们这里发生了地震。
We have plenty of time to spare.	我们还剩下很多时间。
We have similar tastes in music.	我们在音乐方面爱好相似.
We hope to be back by nightfall.	我们希望傍晚时能回来.
We hope you will enjoy the show.	我们希望你喜欢这个表演。
We imported meat from Argentina.	我们从阿根廷进口了肉类。
We made inquiries into his past.	我们对他的过去进行了调查。
We managed to get there on time.	我们总算准时到那里了。
We must fight against ignorance.	我们必须和无知作战。
We often talk about the weather.	我们经常讨论天气。
We only have an a la carte menu.	我们只有分类菜单.
We picked flowers in the garden.	我们在花园里摘花。
We play football every Saturday.	我们每个星期六踢足球。
We played basketball in the gym.	我们在体育馆打篮球。
We pondered whether to tell her.	我们考虑是否要告诉她。
We sat quietly in the moonshine.	我们在月光下静静地坐着。
We use a lot of water every day.	我们每天用很多的水。
We visited the museum last week.	我们上周参观了博物馆。
We went halfway up the mountain.	我们爬到了半山腰。
We went to the mountains to ski.	我们去山上滑雪。
We will go on a picnic tomorrow.	我们明天要去野餐。
We will never yield to invaders.	我们绝不会向侵略者屈服。
We worked on a farm last summer.	我们去年夏天在一个农场上工作。
We'll lead with the dock strike.	我们把码头工人罢工当作头条新闻
We're booked on the next flight.	我们预订了下一班的机票.
We've already partied all night.	我们已经开了一整夜的派对了。
Well, this is most inconvenient.	真是的，这叫人非常不便。
Were you at school at that time?	那时你在学校吗?
Were you on time for work today?	你今天准时上班了吗？
What an unlucky train of events!	多么不幸的一连串事件!
What are your plans for tonight?	你今晚有什么打算？
What conclusion did you come to?	你得出了什么结论？
What did you do with my glasses?	你用我的眼镜做了什么?
What did you do with my luggage?	你把我的行李放到哪里去了？
What did you do with your shoes?	你把你的鞋怎么了？
What do you base your theory on?	你的理论是以什么为基础?
What do you do before breakfast?	早餐前你做什么?
What do you do with my fur coat?	你拿我的毛皮大衣干什么?
What do you need this money for?	你需要这些钱做什么?
What do you think of modern art?	你对现代艺术有何看法？
What does she do in the evening?	她晚上做什么?
What else do you want me to say?	你想让我再说什么？
What fruit do you like the best?	你最喜欢什么水果？
What happened to you last night?	昨晚你发生了什么事？
What is the exchange rate today?	今天的汇率是多少？
What is the population of India?	印度的人口有多少？
What time are you going on duty?	你几点值班?
What time do you usually get up?	你通常什么时候起床？
What time does your plane leave?	你的飞机什么时候起飞？
What to do next is the question.	问题是下一步要做什么。
What would you like for dessert?	你要什么甜点？
What's the purpose of your trip?	你旅行的目的是什么？
Where did you get your hair cut?	你在哪里剪头发？
Where do you attend high school?	你在哪里念高中?
Where would you like to go next?	你下一步想去哪里?
Which side will get the mastery?	哪一方将获得控制权？
Who cares when she gets married?	谁在乎她何时结婚?
Who is the author of this story?	这本小说的作者是谁？
Who is the boss of this company?	这家公司的老板是谁？
Who is the girl in this picture?	这张照片里的女孩是谁？
Who is the woman standing there?	站在那儿的女人是谁？
Who picked you for this mission?	谁选你来做这个任务？
Who's in charge of this section?	谁负责这个部门？
Why did you paint the bench red?	为什么你把长凳漆成红色了？
Why did you turn down his offer?	你为什么拒绝了他的提议？
Why do you want to study abroad?	为什么你想到外国读书？
Wild animals live in the forest.	野生动物住在森林里。
Will you help me move this desk?	你能帮我搬这张桌子吗？
Will you please show me the way?	请您给我指一指路好吗？
With luck, she will get the job.	如果幸运的话，她将得到那份工作。
Won't you come over to my place?	你不会来我家吗?
Won't you have some tea with me?	你不和我一起喝点茶吗？
Would you like me to explain it?	我为你解释一下好吗?
Would you like to dance with me?	你愿意和我跳舞吗？
Would you like to eat something?	你想吃点东西吗？
Would you pass the salt, please?	请你把盐递过来好吗？
You are a good cook, aren't you?	你很会做菜，不是吗?
You are always as busy as a bee.	你总是跟蜜蜂一样地忙碌。
You are under pledge of secrecy.	你已发过誓要保密.
You are very early this morning.	你今天早上非常早。
You ask me to do the impossible.	你让我做不可能做到的事情。
You can do whatever you want to.	你可以做任何你想做的事。
You can see as far as the coast.	你可以极目远眺，看到海岸。
You can't do two things at once.	你不能一心两用。
You can't hang for such a crime.	你犯的这种罪不可能被处以绞刑.
You didn't need to buy the book.	你没有必要买这本书。
You don't have to kick yourself.	你不要自甘堕落。
You don't know how worried I am.	你不知道我有多担心啊。
You don't like gambling, do you?	你不喜欢赌博，是吗？
You don't need to speak so loud.	你不必这么大声说话。
You had better do what they say.	你最好照他们所说的做。
You look simply divine, darling!	你简直动人极了, 亲爱的!
You may make use of his library.	你可以利用他的图书馆。
You may write in biro or pencil.	你用圆珠笔或铅笔书写均可.
You mistook my meaning entirely.	你完全误解了我的意思。
You must not be late for school.	你上学不可以迟到。
You must return the book to him.	这本书你该还给他。
You ought to ask him for advice.	你应该向他征求意见。
You should be able to manage it.	你应该能解决。
You should come home before six.	你应该六点前回家。
You should do your homework now.	你应该现在做功课。
You should keep your mouth shut.	你应该闭上你的嘴。
You should run for city council.	你应该去竞选城市委员会。
You should study English harder.	你应该更努力学习英语。
You should take advantage of it.	你应该好好利用这个机会。
You should talk directly to Tom.	你应该直接跟汤姆说。
You should've told me yesterday.	你昨天就该告诉我了。
You'd better consult the doctor.	您最好请教一下医生。
You're Tom's friend, aren't you?	你是汤姆的朋友，不是吗？
You're the best man for the job.	你是最适合做这份工作的人。
You've lost weight, haven't you?	你减肥了，不是么？
Young as he was, he was prudent.	他虽然如此年轻，却很慎重。
Your CV has really impressed me.	你的履历给我留下深刻的印象。
Your English has improved a lot.	你的英语进步了很多。
Your chair is identical to mine.	你的椅子和我的很像。
Your opinion is similar to mine.	你的意见跟我的相似。
Your problem is similar to mine.	你的问题和我的相似。
Your shirt button is coming off.	你衬衣的纽扣快掉了。
"Can somebody help me?" "I will."	"谁可以来帮我一下?" "我帮你。"
"How old are you?" "I'm sixteen."	「你几岁？」「我十六岁。」
"That's a woman's job," said Tom.	“那是女人的工作，”汤姆说。
'Can he hear us?' 'Probably not.'	｀他听得见我们的话吗?＇｀大概听不见.＇
A balloon floated across the sky.	有个气球从空中飘过.
A cargo of steel was lost at sea.	有一货轮的钢材在海上遗失了。
A climber needs secure footholds.	攀登的人脚踩的地方要很牢固.
A filter traps dust from the air.	过滤网可存住空气中的尘埃.
A fit of dizziness came over her.	她感到一阵头晕目眩.
A gap or space between two teeth.	齿隙两齿之间的间隙或空隙
A good husband makes a good wife.	【谚】夫善则妻贤。
A good meal sweetened his temper.	吃了一顿好饭，他的脾气变得好多了。
A humid wind blew from the south.	湿润的风从南方吹来。
A long pull across the mountains.	为翻越山脉的不断努力
A main feature of computer virus.	计算机病毒的一种主要特性。
A man can do no more than he can.	人只能做力所能及的事。
A plane is flying above the city.	一架飞机在这个城市上空飞行。
A ring and some cash are missing.	少了一个戒指和一点现金。
A secondary matter; a side issue.	次要的第二位的事；较次要的问题
A single grain of a cereal plant.	谷粒禾谷类作物的一个颗粒
A step made in walking; a stride.	一步行走时跨出的一步；一大步
AI means Artificial Intelligence.	AI是人工智能的略称。
After two days our food gave out.	过两天我们的食物就发完了。
Air consists chiefly of nitrogen.	空气主要由氮气组成.
All I want now is a little sleep.	我现在只想睡点觉。
All manner of vehicles were used.	使用了各种车辆.
All of the students were present.	所有学生都出席了。
Although thirty, he is childlike.	尽管他已三十岁了，但还是孩子般的无邪。
America is a competitive society.	美国是一个充满竞争的社会。
An artist is sensitive to beauty.	艺术家对于美的感觉很灵敏。
An assistant teacher in a school.	助教学校中的助理教员
An honest man never steals money.	诚实的人从不偷钱。
An impoverished person; a pauper.	穷人贫困的人；贫民
Anne Boleyn was beheaded in 1536.	安妮·博林於1536年被斩首.
Another Scotch and water, please.	麻烦再来一杯威士忌和加水。
Anxiety may disorder the stomach.	忧虑可能会引起胃部不适。
April is the time to plant trees.	四月是种树的时候。
Are there many trees in the park?	公园里有很多树吗?
Are you allergic to any medicine?	你对任何药物过敏吗？
Are you busy on Sunday afternoon?	你周日下午忙吗？
Are you going to school tomorrow?	你明天要去上学吗？
As for me, I have nothing to say.	至于我嘛，无话可说。
Autographs considered as a group.	签名册亲笔签名组成的册子
Better to wear out than rust out.	【谚】与其锈坏，不如用坏。
Blind people rely a lot on touch.	盲人在很大程度上依靠触觉.
Blood was pouring from the wound.	血从伤口中涌出.
Blunt scissors don't cut cleanly.	钝剪刀剪不齐.
Bored through or gnawed by worms.	被虫蛀的被虫钻透或咬啮的
Building materials are expensive.	建筑材料很昂贵。
Buses ply between the two cities.	公车定期往返于那两个城市之间。
By the way, are you free tonight?	顺便问一句，你今晚有空吗？
Can I borrow some money from you?	我可以向你借一些钱？
Can I go swimming this afternoon?	我今天下午可以去游泳吗？
Can someone answer the telephone?	有人可以接电话吗?
Can we perhaps try another route?	我们是不是可以另试试别的路线?
Can we roller-skate in this park?	我们可以在这个公园里玩四轮溜冰吗?
Can you change a five-pound note?	你能换开五英镑的票子吗？
Can you give me a piece of paper?	能给我一张纸吗？
Can you pass me the salt, please?	请你把盐递给我好吗？
Chastity is important to a woman.	贞节对一个女人来说是重要的。
Children like outdoor activities.	孩子们喜欢户外活动。
Children sometimes lack patience.	孩子通常没有耐心。
Comb your hair before you go out.	在你出门之前，把你的头发梳一梳。
Concerned parents held a meeting.	忧心忡忡的家长们开了一次会。
Could you change my seat, please?	是否可替我更换座位？
Could you exchange rooms with me?	可以跟我交换房间吗?
Could you say that one more time?	你能再说一次吗？
Custard is a kind of sweet sauce.	软冻是一种甜食。
Dad's in an impatient mood today.	爸爸今天很不耐烦。
Dick fell a prey to his ambition.	迪克因野心勃勃而自食其果。
Did anybody ask you to come here?	有人叫你来这吗？
Did you enjoy yourself yesterday?	你昨天玩得开心吗?
Did you go to the art exhibition?	你去看艺术展览了吗？
Do you know how to open this box?	你知道如何打开这个箱子吗？
Do you know what color she likes?	你知道她喜欢什么颜色吗？
Do you know where they come from?	你知道他们来自哪里吗？
Do you mean I have to get a visa?	你是说我务必去弄一份签证?
Do you mind if I open the window?	你介意我开窗吗？
Do you play a musical instrument?	你演奏乐器吗？
Do you really believe that story?	你真的相信那故事吗？
Do you want any of these flowers?	你要这些花中的任何一朵吗？
Do you want ruled paper or plain?	你要有格的纸还是白纸?
Does Tom need to stay home today?	汤姆今天需要留在家里吗？
Does anyone else have any advice?	有人还有什么建议吗?
Does he write letters in English?	他用英文写信吗?
Does the earth rotate on an axis?	地球是绕轴旋转的吗？
Don't be so rude to your parents!	别对你的父母这么没礼貌！
Don't cry, you are a big boy now.	别哭，你现在已经是大男孩了。
Don't forget to date your cheque.	不要忘记在支票上写上日期.
Don't interrupt our conversation.	不要打断我们的谈话。
Don't judge a man by his clothes.	不要以穿著来判断一个人。
Don't throw rocks into the river.	不要往河里扔石头。
Don't touch it, it breaks easily.	不要碰它，它容易破碎。
Don't try to do this by yourself.	别想靠你自己做这事。
Down the sable flood they glided.	他们在黑黝黝的洪水中随波逐流。
Earthquakes frequently hit Japan.	地震频繁地袭击日本。
English is studied in China, too.	英语在中国也被学习了。
Established friendship; intimacy.	亲密稳固的友谊；亲密
Ethics is a branch of philosophy.	伦理学是哲学的分科.
Even children can read this book.	即使是小孩也能读这本书。
Even chocolate contains vitamins.	连巧克力中也含有维他命。
Every one of his songs was a hit.	他的每首歌都长期备受欢迎。
Exercise is good for your health.	体育有益健康。
Fish cannot breathe out of water.	鱼离开水就不能呼吸。
Fish has been taken off the menu.	菜单上已把鱼取消了.
Foolish, insolent talk; nonsense.	胡说，废话愚蠢的，鲁莽的言谈，胡说
France was once a colonial power.	法国一度是占有殖民地的强国.
Go and buy three bottles of coke.	去买三瓶可乐。
Go away before they see you here.	在他们看见你之前离开这儿。
Good harvests alternate with bad.	好收成与坏收成交替更迭。
Gunpowder first came in in China.	中国首先使用火药。
Half the garrison is/are on duty.	有半数卫戍部队在执勤.
Hang your coat (up) on that hook.	把你的外衣挂在那个挂钩上.
Happiness radiated from her eyes.	幸福的光芒从她的眼中散发出来。
Has he finished his homework yet?	他完成他的功课了吗？
Have you ever had food poisoning?	您曾经食物中毒过吗？
Have you ever tried scuba diving?	你曾试过用水肺潜水吗？
Have you finished your lunch yet?	你吃完你的午饭了吗？
Have you handed in your homework?	你交功课了吗？
Have you heard from him recently?	你最近有他的消息吗？
Have you received our remittance?	你方是否已收到我方汇款？
Have you taken your medicine yet?	您已经吃过药了吗？
Having the form of a bow; curved.	拱形的具有弓的形式的；弯曲的
He all lives here all one's life.	他一辈子都住在这里。
He always gets bullied at school.	他在学校老是被人欺负。
He always quarrels with his wife.	他总是与他的妻子吵架。
He asked me to inquire after you.	他要我问候你。
He asked me to speak more slowly.	他要求我讲慢一点。
He asked me where my uncle lived.	他问我我的叔叔住在哪里。
He believes that he can prove it.	他相信他能证明它。
He bore his tribulations bravely.	他勇敢地忍受着困苦。
He bought a small house in Kyoto.	他在京都买了一个小房子。
He built a new house for himself.	他给自己盖了一栋新房子。
He called me up almost every day.	他几乎每天打电话给我。
He came all the way from Chicago.	他从芝加哥远道而来了。
He came home late in the evening.	他晚上很晚回家。
He came to Japan seven years ago.	他七年前来日本。
He cleaved an apple with a knife.	他用一把刀子将苹果切开。
He collected bits of information.	他收集了一些讯息。
He couldn't pass the examination.	他无法通过考试。
He crooked his finger to himself.	他向内勾起手指。
He didn't go and I didn't either.	他没有去，我也没去。
He didn't respond to my question.	他没有回答我的问题。
He doesn't know much about Japan.	他不是很了解日本。
He doesn't like traveling by air.	他不喜欢搭飞机旅行。
He drew an oblique line on paper.	他在纸上划了一条斜线。
He drove a stake into the ground.	他向地里打了一根桩子。
He employed his knife as a lever.	他把刀子当杠杆用.
He emptied the glass at on draft.	他一口气喝完了那一大杯。
He explained his plans in detail.	他详细地解释了他的计划。
He fell asleep with the radio on.	他睡著了但收音机还开著。
He felt mortified for his mistake	他对他的错深感羞愧.
He fixed her with an angry stare.	他怒目注视著她.
He found the box under the table.	他在桌子底下发现了这个盒子。
He gave me a butt on the stomach.	他在我腹部撞了一下。
He gave me his stamp of approval.	他给了我正式批准。
He got a medal for his gallantry.	他因勇敢而赢得一枚勋章。
He greeted her with a loving hug.	他以一个深情的拥抱来迎接她。
He grunted as the bullet hit him.	子弹击中他时他疼得哼了出来。
He had a large family to support.	他要养活一个大家庭。
He had a shower before breakfast.	他在早餐前洗了个澡。
He had an arrogant tone of voice.	他流露出傲慢的口气。
He had every reason for doing so.	他有充分的理由这样做。
He has a brother and two sisters.	他有一个兄弟和两个姐妹。
He has a good command of English.	他有很好的英语能力。
He has a large family to support.	他要抚养一大家人。
He has a lot of books on history.	他有很多历史书籍。
He has a mellow attitude to life.	他对生活有种成熟的看法。
He has all but finished the work.	他几乎已经完成这个工作了。
He has been dead for three years.	他去世三年了。
He has been to Europe many times.	他去过欧洲很多次了。
He hasn't answered my letter yet.	他还没回我的信。
He hasn't written the letter yet.	他还没写信。
He hastened (away) to the office.	他急急忙忙到办公室去了.
He held her hand in a firm clasp.	他紧握她的手。
He impedes me to do the job well.	他妨碍我把工作做好。
He introduced his daughter to me.	他把他的女儿介绍给我认识。
He is a painter of street scenes.	他是一个画街景的画家。
He is a proper object of charity.	他是施舍的适当对象。
He is always losing his umbrella.	他总是搞丢了他的伞。
He is beginning to lose his hair.	他开始掉头发了。
He is honest only on the surface.	他只是表面诚实而已。
He is independent of his parents.	他独立于他的父母。
He is still sitting on the bench.	他还坐在长椅上。
He is the chief of my department.	他是我部门的主管。
He is the father of two children.	他是两个孩子的父亲。
He is too sensitive to criticism.	他对批评太敏感。
He is used to speaking in public.	他习惯在公众场合说话。
He is very stingy with his money.	他非常吝啬。
He leant on the back of the sofa.	他斜靠在沙发的背上。
He left high school at seventeen.	他十七岁的时候离开了高中。
He left his glasses at our place.	他把眼镜落在我们这里了。
He likes French more than German.	他喜欢法语胜过德语。
He lived to be seventy years old.	他活到了70岁。
He lives by himself in the woods.	他独自住在森林里。
He lives in a village near Osaka.	他住在大阪附近一座镇上。
He lives in the suburbs of Tokyo.	他住在东京郊区。
He looked every inch a gentleman.	他看上去完全是正人君子.
He loses his temper quite easily.	他很容易发脾气。
He loved to laugh and enjoy life.	他爱笑以及享受生活。
He made an interminable argument.	他无休止地争论。
He narrowly escaped being killed.	他险些被杀害。
He never speaks unless spoken to.	除非有人跟他说话，他从来不说话。
He often does his wife's bidding.	他经常按他妻子的吩咐去做。
He often drives his father's car.	他经常驾驶他的父亲的车。
He often goes abroad on business.	他经常出国洽商。
He often laughs at his own jokes.	他常常因他自己的笑话而笑。
He often quotes from Shakespeare.	他经常引用莎士比亚。
He owes his success to good luck.	他将他的成功归于好运。
He packed up his things and left.	他把东西装进箱子里就动身了。
He played the piano and she sang.	他弹钢琴，她唱歌。
He pressed lightly on the handle.	他轻轻按下手柄。
He pressed the button and waited.	他按下按钮然后等待著。
He pretended not to be listening.	他假装听不见。
He pulled my ears/me by the ears.	他扯我的耳朵.
He read the letter over and over.	他把信读了一遍又一遍。
He resigned and fled the country.	他辞职后逃离了这个国家。
He said, "I want to be a doctor."	他说：「我想成为医生。」
He sang to a piano accompaniment.	他演唱由钢琴伴奏.
He scraped the mud off his boots.	他刮下靴子上的泥巴。
He sets aside part of his salary.	他把工资的一部份存起来。
He shook his head in disapproval.	他摇了摇头表示反对。
He should have bought a used car.	他应该买一辆二手车的。
He skis in Hokkaido every winter.	他每年冬天在北海道滑雪。
He sold his business and retired.	他卖掉了他的事业并且退休。
He sometimes goes to work by car.	他有时开车去上班。
He sometimes makes dinner for us.	他有时煮晚饭给我们吃。
He spoke with an American accent.	他说话带着美国英语口音。
He stayed there a couple of days.	他在那里待了几天。
He stepped on my foot on purpose.	他故意踩我的脚。
He stopped for a quick cigarette.	他停下来抽根烟。
He tends to be late for meetings.	他开会往往会迟到。
He told me he would go to Venice.	他告诉过我他会去威尼斯。
He told me the news with a laugh.	他笑着告诉我这个消息。
He told me to do it, so I did it.	他让我做，我就做了。
He told the students to be quiet.	他告诉了学生要安静。
He took me to the park yesterday.	昨天他带我去公园。
He took out a book from the case.	他从箱子里拿出一本书。
He used his umbrella as a weapon.	他用他的雨伞当作武器。
He used to be an imaginative boy.	他曾经是一个富有想像力的男孩。
He usually goes to school by bus.	他经常搭公车上学。
He usually went to bed at eleven.	他通常在十一点上床睡觉。
He waited for me until I arrived.	他等我直到我来。
He wants something cold to drink.	他想喝些冷饮。
He wants to get a new dictionary.	他想得到一本新的字典。
He was able to solve the problem.	他能解决这个问题。
He was bound to a chair and left.	他被绑在一把椅子上, 就那样待著.
He was embarrassed by many debts.	他被很多债务弄得焦灼不安。
He was killed by a single bullet.	他被一颗子弹打死了。
He was laughed at by his friends.	他被他的朋友嘲笑了。
He was refreshed and ready to go.	他精神抖擞准备出发.
He was small and healthily built.	他个子小但身体很健康。
He was surrounded by temptations.	他受到各种诱惑的包围。
He was the conceiver of the plan.	他是该计画的构想者。
He was the world tennis champion.	他曾是世界网球冠军。
He was threatened with pneumonia.	他有患肺炎的危险。
He washed down a pill with water.	他用开水吞服药丸。
He weighed the ideas in his mind.	他在脑中权衡着这些想法。
He went out in spite of the rain.	尽管下着雨，他还是出去了。
He went to Paris to study French.	他到巴黎学习法语。
He will arrive in Paris tomorrow.	他明天将抵达巴黎。
He will be promoted step by step.	他将被逐步提升。
He will make a good team captain.	他会成为一个好队长。
He will take an oral examination.	他将接受口试。
He woke up, yawned and stretched.	他一觉醒来, 边打呵欠边伸懒腰.
He works every day except Sunday.	除了星期天他每天工作。
He works hard all the year round.	他一年到头努力工作。
He works in a private enterprise.	他在一家私人企业工作。
He would not listen to my advice.	他不肯听我的劝告。
He wrote a sonnet to his beloved.	他写了一首十四行诗, 献给他心爱的人.
He'll come on foot or by bicycle.	他走路或者骑车过来。
He'll do whatever you ask him to.	他会做任何你要求他做的事。
He's always been living in Tokyo.	他一直住在东京。
He's in charge of the department.	他负责这个部门。
He's very good at playing guitar.	他很擅长弹吉他。
Heat evaporates water into steam.	水受热变成水蒸汽。
Her eyes kindled with excitement.	她的眼睛里闪耀出激动的神色。
Her father passed away last week.	她的父亲上周去世了。
